Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Butternut squash soup: Tip the butternut squash into the pan add the stock and crème fraîche then whizz with a stick blender until smooth.	Butternut squash soup: Tip the pumpkin into the pan add the stock and crème fraîche then whizz with a stick blender until smooth.	Butternut squash soup: Tip the tilapia into the pan add the stock and crème fraîche then whizz with a stick blender until smooth.
Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the beef is tender.	Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the vegan steak is tender.	Beef massaman curry: Bring to a simmer then cover and cook for 2 hrs in the oven until the seaweed is tender.
Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the ghee over medium high heat.	Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the any oil over medium high heat.	Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the yam over medium high heat.
Veggie lasagne: For the cheese sauce put the flour butter and milk in a large saucepan and place over a medium heat.	Veggie lasagne: For the cheese sauce put the flour vegan margerine and milk in a large saucepan and place over a medium heat.	Veggie lasagne: For the cheese sauce put the flour almond milk and milk in a large saucepan and place over a medium heat.
Bang Bang Chicken Pasta: Add the sriracha sauce to the chicken and vegetables stir to combine.	Bang Bang Chicken Pasta: Add the sriracha sauce to the quorn and vegetables stir to combine.	Bang Bang Chicken Pasta: Add the sriracha sauce to the yam and vegetables stir to combine.
Authentic Neapolitan Pizza: Spread about a handful of Mozzarella evenly across the pizza	Authentic Neapolitan Pizza: Spread about a handful of mascarpone evenly across the pizza	Authentic Neapolitan Pizza: Spread about a handful of allium evenly across the pizza
Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and cooked through.	Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and cooked pearl barley through.	Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and cabbage through.
Ultimate spaghetti carbonara: Keep the heat under the pancetta on low.	Ultimate spaghetti carbonara: Keep the heat under the smoked bacon on low.	Ultimate spaghetti carbonara: Keep the heat under the vine leaves on low.
Pumpkin risotto: Once the rice is soft enough to eat gently stir in the grated cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the emmental cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the nori cheese chopped coriander and roasted pumpkin.
Easy Sweet Potato Curry: Add in the onions and tomatoes.	Easy Sweet Potato Curry: Add in the onions and mushrooms.	Easy Sweet Potato Curry: Add in the onions and sunflower oil.
Garlic mushroom pasta: Finely grate in most of the Parmesan stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of Parmesan.	Garlic mushroom pasta: Finely grate in most of the if for topping the pasta - cheddar  stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of if for topping the pasta - cheddar .	Garlic mushroom pasta: Finely grate in most of the black bean stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of black bean.
Dumpling Wrapper Bun with juicy filling: Using the same bag add the tofu and squeeze out as much moisture as you can (check the video).	Dumpling Wrapper Bun with juicy filling: Using the same bag add the  potato and squeeze out as much moisture as you can (check the video).	Dumpling Wrapper Bun with juicy filling: Using the same bag add the sauerkraut and squeeze out as much moisture as you can (check the video).
Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml oat milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml bran to the pan and bring to the boil.
Spicy roasted parsnip soup: Add 1 large onion cut into 8 chunks 2 garlic cloves 675g parsnips diced and 2 quartered plum tomatoes and mix well.	Spicy roasted parsnip soup: Add 1 large onion cut into 8 chunks 2 garlic cloves 675g dish name would change diced and 2 quartered plum tomatoes and mix well.	Spicy roasted parsnip soup: Add 1 large onion cut into 8 chunks 2 garlic cloves 675g ackee diced and 2 quartered plum tomatoes and mix well.
Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with salmon ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with tuna steak ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with pistachio ginger-scallion vinaigrette and sesame oil.
Pumpkin risotto: Once the rice is soft enough to eat gently stir in the grated cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the grated cheddar cheese  cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the chives cheese chopped coriander and roasted pumpkin.
Beef stew: Return the beef to the pan then stir through the tomatoes and wine.	Beef stew: Return the sweet potatoes  to the pan then stir through the tomatoes and wine.	Beef stew: Return the pistachio to the pan then stir through the tomatoes and wine.
The Hairy Bikers' fish pie with cheese mash: Arrange half the prawns on top of the fish and pour over another third of the sauce.	The Hairy Bikers' fish pie with cheese mash: Arrange half the pcooked prawns ns on top of the fish and pour over another third of the sauce.	The Hairy Bikers' fish pie with cheese mash: Arrange half the pdamsonns on top of the fish and pour over another third of the sauce.
Vegetarian Thai green curry: Tip in the squash and pepper then stir through the coconut milk along with 200ml water.	Vegetarian Thai green curry: Tip in the squash and pepper then stir through the half-fat coconut milk; coconut cream plus water along with 200ml water.	Vegetarian Thai green curry: Tip in the squash and pepper then stir through the kidney bean along with 200ml water.
Shopska Salata Bulgarian Tomato Salad: What is Sirene Cheese?	Shopska Salata Bulgarian Tomato Salad: What is feta cheese Cheese?	Shopska Salata Bulgarian Tomato Salad: What is babaco Cheese?
Garlic and parmesan risotto: Stir thoroughly over the heat to fry the rice lightly in the butter for 2&ndash;3min.	Garlic and parmesan risotto: Stir thoroughly over the heat to fry the bulgar wheat lightly in the butter for 2&ndash;3min.	Garlic and parmesan risotto: Stir thoroughly over the heat to fry the gelatine lightly in the butter for 2&ndash;3min.
Indian Chicken Curry (Murgh Kari): Add tomatoes yogurt 1 tablespoon chopped cilantro and 1 teaspoon salt to the mixture; stir to combine.	Indian Chicken Curry (Murgh Kari): Add tomatoes dairy-free yoghurt 1 tablespoon chopped cilantro and 1 teaspoon salt to the mixture; stir to combine.	Indian Chicken Curry (Murgh Kari): Add tomatoes star anise 1 tablespoon chopped cilantro and 1 teaspoon salt to the mixture; stir to combine.
Kale tofu mushroom and quinoa protein bowl: Rinse the cooked kale with ice-cold water and drain well set aside.	Kale tofu mushroom and quinoa protein bowl: Rinse the rice kale with ice-cold water and drain well set aside.	Kale tofu mushroom and quinoa protein bowl: Rinse the gouda kale with ice-cold water and drain well set aside.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g water.
Vegetable gyoza: If you’re making your own dough tip the flour and 1 tsp salt into a bowl.	Vegetable gyoza: If you’re making your own dough tip the whole wheat flour and 1 tsp salt into a bowl.	Vegetable gyoza: If you’re making your own dough tip the meatball and 1 tsp salt into a bowl.
Spaghetti Bolognese: Add the minced beef breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.	Spaghetti Bolognese: Add the mince qorn  breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.	Spaghetti Bolognese: Add the shrimp breaking it apart with the back of a spoon then cook for 2 to 3 minutes or until starting to brown then pour in the wine.
Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;	Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;	Dhaba Style Saag Paneer with Punjabi Tadka: Add the paneer cubes / American cottage cheese / tofu cubes.&nbsp; &nbsp;
skillet chicken & zucchini parmesan: Brown each side of chicken for 3-5 minutes.	skillet chicken & zucchini parmesan: Brown each side of this (is not) chicken for 3-5 minutes.	skillet chicken & zucchini parmesan: Brown each side of port salut for 3-5 minutes.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g minced chicken breast  and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g demerara sugar and cook stirring for 3-4 mins until the meat is browned all over.
Classic Lasagne: Cook beef until no longer pink breaking up with a wooden spoon then drain fat.	Classic Lasagne: Cook quorn mince until no longer pink breaking up with a wooden spoon then drain fat.	Classic Lasagne: Cook ghee until no longer pink breaking up with a wooden spoon then drain fat.
Dishoom's Ruby Chicken Curry: Add the chicken to the curry and simmer for another 5 minutes stirring evenly to coat.	Dishoom's Ruby Chicken Curry: Add the diced chicken breast to the curry and simmer for another 5 minutes stirring evenly to coat.	Dishoom's Ruby Chicken Curry: Add the courgette to the curry and simmer for another 5 minutes stirring evenly to coat.
Creamy Garlic Herb Mushroom Spaghetti: Add the milk slowly whisking to incorporate.	Creamy Garlic Herb Mushroom Spaghetti: Add the oat milk slowly whisking to incorporate.	Creamy Garlic Herb Mushroom Spaghetti: Add the porridge oat slowly whisking to incorporate.
skillet chicken & zucchini parmesan: Brown each side of chicken for 3-5 minutes.	skillet chicken & zucchini parmesan: Brown each side of this (is not) chicken for 3-5 minutes.	skillet chicken & zucchini parmesan: Brown each side of tannia for 3-5 minutes.
palak paneer  how to make palak paneer | paneer s: rinse the spinach very wall in water.boil water in a pan with some salt.switch off the fire and add the spinach leaves in the hot water.close with a lid and let the spinach leaves sit in the water for 2-3 mins.drain and immediately add the leaves in a pan or bowl containing ice cold water.this helps in preserving the green color of the spinach.drain and then puree the spinach in a blender or hand blender with ginger garlic and green chilies.make a smooth puree.heat oil or ghee in a pan or kadai.fry the cumin first.then add the bay leaves and onions.fry till the onions become browned.now add the garlic and tomatoes.fry till the tomatoes become soft.add the turmeric powder red chili powder and asafoetida.stir and fry for some seconds.add the spinach puree.add some water if required.simmer for 6-7 minutes or more till the spinach is cooked.lastly add salt and garam masala.stir and add the paneer cubes.cook the gravy till the paneer cubes become soft and succulent.add cream and stir.simmer for 30 seconds or a minute.at this stage you can also add some crushed kasuri methi leaves.stir and serve the palak paneer hot with some rotis naan or jeera rice.you can top the palak paneer with some butter or cream also while serving.	palak paneer  how to make palak paneer | paneer s: rinse the spinach very wall in water.boil water in a pan with some salt.switch off the fire and add the spinach leaves in the hot water.close with a lid and let the spinach leaves sit in the water for 2-3 mins.drain and immediately add the leaves in a pan or bowl containing ice cold water.this helps in preserving the green color of the spinach.drain and then puree the spinach in a blender or hand blender with ginger garlic and green chilies.make a smooth puree.heat oil or ghee in a pan or kadai.fry the cumin first.then add the bay leaves and onions.fry till the onions become browned.now add the garlic and tomatoes.fry till the tomatoes become soft.add the turmeric powder red chili powder and asafoetida.stir and fry for some seconds.add the spinach puree.add some water if required.simmer for 6-7 minutes or more till the spinach is cooked.lastly add salt and garam masala.stir and add the tofu cubes.cook the gravy till the tofu cubes become soft and succulent.add cream and stir.simmer for 30 seconds or a minute.at this stage you can also add some crushed kasuri methi leaves.stir and serve the palak tofu hot with some rotis naan or jeera rice.you can top the palak tofu with some butter or cream also while serving.	palak paneer  how to make palak paneer | paneer s: rinse the spinach very wall in water.boil water in a pan with some salt.switch off the fire and add the spinach leaves in the hot water.close with a lid and let the spinach leaves sit in the water for 2-3 mins.drain and immediately add the leaves in a pan or bowl containing ice cold water.this helps in preserving the green color of the spinach.drain and then puree the spinach in a blender or hand blender with ginger garlic and green chilies.make a smooth puree.heat oil or ghee in a pan or kadai.fry the cumin first.then add the bay leaves and onions.fry till the onions become browned.now add the garlic and tomatoes.fry till the tomatoes become soft.add the turmeric powder red chili powder and asafoetida.stir and fry for some seconds.add the spinach puree.add some water if required.simmer for 6-7 minutes or more till the spinach is cooked.lastly add salt and garam masala.stir and add the chervil cubes.cook the gravy till the chervil cubes become soft and succulent.add cream and stir.simmer for 30 seconds or a minute.at this stage you can also add some crushed kasuri methi leaves.stir and serve the palak chervil hot with some rotis naan or jeera rice.you can top the palak chervil with some butter or cream also while serving.
Easy veggie korma with naan: Pour into the pan with the yoghurt.	Easy veggie korma with naan: Pour into the pan with the plant based yoghurt.	Easy veggie korma with naan: Pour into the pan with the strawberries.
Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the tofu.	Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the bacon.
Pesto pasta: Boil spaghetti in a large pan according to pack instructions.	Pesto pasta: Boil penne pasta in a large pan according to pack instructions.	Pesto pasta: Boil tomato in a large pan according to pack instructions.
Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes feta cheese red onions and olives.	Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes halloumi red onions and olives.	Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes orange red onions and olives.
Vegetable Brown Rice Sushi: Spread ¾ cup of the rice in a thin layer over most of the sheet.	Vegetable Brown Rice Sushi: Spread ¾ cup of the sushi rice in a thin layer over most of the sheet.	Vegetable Brown Rice Sushi: Spread ¾ cup of the coley in a thin layer over most of the sheet.
Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes: Return the drained potatoes to the pot along with the sour cream milk dried parsley oregano basil garlic powder onion powder 1/4 tsp salt and some freshly cracked pepper.	Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes: Return the drained potatoes to the pot along with the sour cream oat milk or almond milk dried parsley oregano basil garlic powder onion powder 1/4 tsp salt and some freshly cracked pepper.	Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes: Return the drained potatoes to the pot along with the sour cream chilli paste dried parsley oregano basil garlic powder onion powder 1/4 tsp salt and some freshly cracked pepper.
Red Thai Curry Vegetables: Cook your rice according to package instructions.	Red Thai Curry Vegetables: Cook your naan bread according to package instructions.	Red Thai Curry Vegetables: Cook your sword bean according to package instructions.
Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the raddiccio and stir to coat.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g halloumi.
Super shepherd's pie: Put the ground lamb into a cold casserole pan.	Super shepherd's pie: Put the ground would consider quorn mince which is not lamb into a cold casserole pan.	Super shepherd's pie: Put the ground plant-based bacon into a cold casserole pan.
Super shepherd's pie: Put the ground lamb into a cold casserole pan.	Super shepherd's pie: Put the ground would consider quorn mince which is not lamb into a cold casserole pan.	Super shepherd's pie: Put the ground buckwheat into a cold casserole pan.
Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the ghee over medium high heat.	Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the any oil over medium high heat.	Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the guacamole over medium high heat.
Mushroom Biryani: For the rice	Mushroom Biryani: For the cauliflower rice	Mushroom Biryani: For the fennel
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turkey breast and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the turmeric and marinade to the pan.
